t,x,v_x,y,y_v
0.0,0.0,0.0,0.0,0.0
9.999999999999999e-05,-7.666133463451465e-09,-0.0001704095193667506,-4.897396283673592e-08,-0.0009788863850605173
0.00024301025644221023,-5.120781693721377e-08,-0.0004385134126503003,-2.887100659059076e-07,-0.0023726130999932463
0.0016731128208643125,-2.594094596501089e-06,-0.0031169189617030585,-1.344823457759273e-05,-0.015909742306360622
0.011673112820864313,-0.00012693586004694604,-0.021712851365481126,-0.0005738321824582646,-0.09023826057901366
0.021673112820864315,-0.00043608661974207523,-0.04007942956418509,-0.0016996374609504253,-0.12899400426052304
0.03167311282086432,-0.000927774008131496,-0.058220871356242196,-0.0030349264331545867,-0.13221686623502055
0.04167311282086432,-0.0015997673180127717,-0.07614129115452399,-0.004250983461716133,-0.10680961681760302
0.05167311282086432,-0.0024498764829336355,-0.09384470323117619,-0.005087420609058091,-0.05629290934495702
0.06167311282086432,-0.0034759510914361314,-0.11133502480982357,-0.005293800398832631,0.019457111528153714
0.07167311282086432,-0.0046758794311813675,-0.1286160789463624,-0.004534762706002341,0.14197570615236368
0.08167311282086431,-0.00604758756016051,-0.14569159705116008,-0.0022617853019503715,0.32224450189907594
0.09167311282086431,-0.007573162980457429,-0.1548382348974638,0.0021026121936024936,0.5602586303805042
0.1016731128208643,-0.009121738008756385,-0.1548902206594308,0.009135843475267368,0.8560094492965533
0.1116731128208643,-0.010671271612542603,-0.15503327284168997,0.019411952274630617,1.21009772428511
0.1216731128208643,-0.012222770352049507,-0.15528667717519368,0.03392974500886543,1.7286673838796247
0.1316731128208643,-0.013777453499974867,-0.15567451720909198,0.05427985446691799,2.348133192280181
0.1416731128208643,-0.015336790401080873,-0.15622113678005498,0.08102789755505417,3.008245340431019
0.15167311282086432,-0.016902474270432996,-0.15694707922427825,0.11458006081514416,3.7089470634610135
0.16167311282086433,-0.018476389432952704,-0.15787019374568725,0.15534192050200812,4.450172986427052
0.17167311282086434,-0.02006058870555598,-0.15900642953741972,0.20371835402074914,5.231848632968626
0.18167311282086435,-0.021657276969106177,-0.16037031189282103,0.26011313055950375,6.053949474268832
0.19167311282086436,-0.02326879862993558,-0.1619752841038716,0.3249699489728599,6.92673210154913
0.20167311282086436,-0.02489762917452602,-0.16383420203801902,0.3988339275615069,7.855360699347178
0.21167311282086437,-0.026546370883669335,-0.16595957177977655,0.4822635070817992,8.83958334282588
0.22167311282086438,-0.028217749157998732,-0.1683634696721318,0.5757339577330666,9.858575494276755
0.2316731128208644,-0.02991460599854781,-0.17105705010819194,0.6795305305727952,10.905781576566048
0.2416731128208644,-0.031639889602866095,-0.1740504354295864,0.7939501895669006,11.983167421703783
0.2516731128208644,-0.03339664506423676,-0.17735290315082167,0.9192939567437626,13.090576253357646
0.2616731128208644,-0.03518800645839387,-0.1809729863857193,1.05586123635234,14.22784125967259
0.2716731128208644,-0.037017189791403275,-0.1849185491893734,1.2039500294805265,15.394725840761634
0.28167311282086444,-0.03888748656592298,-0.18919682192210643,1.3638157055978213,16.580695880242576
0.29167311282086444,-0.04080225690471269,-0.19381427006716168,1.53560958208184,17.78026365006157
0.30167311282086445,-0.04276492146600594,-0.19877653895543843,1.7194428329860567,18.987047711766873
0.31167311282086446,-0.04477895319537912,-0.20408843407627877,1.9153643154622768,20.197564150146594
0.32167311282086447,-0.04684786883571769,-0.20975389267957212,2.123306832878922,21.384756561965123
0.3316731128208645,-0.048975218931347195,-0.2157756723967193,2.342938404584661,22.53430925638833
0.3416731128208645,-0.051164574667079854,-0.22215507202666088,2.57353905573541,23.55726136964177
0.3516731128208645,-0.05341950873541581,-0.2288908852776536,2.8135397253526078,24.417119828892176
0.3616731128208645,-0.055743567377900254,-0.23597915753748466,3.061589459917123,25.182558367063308
0.3716731128208645,-0.05814024861547719,-0.24341442385030476,3.3169852469062087,25.886519757016416
0.3816731128208645,-0.0606129918323868,-0.25119046958248487,3.579168703995235,26.543595358395322
0.39167311282086453,-0.06316517171455024,-0.25930061779970803,3.847725168064974,27.16135329684178
0.40167311282086454,-0.06580009470173555,-0.2677379210397984,4.122333600863943,27.758479486900306
0.41167311282086455,-0.06852099739511644,-0.2764954061732686,4.40285759039146,28.344496691621572
0.42167311282086456,-0.0713310472251133,-0.28556621603683857,4.689196664863734,28.922159475210577
0.43167311282086457,-0.07423334371040366,-0.29494362887284714,4.98127758282561,29.49286318084015
0.4416731128208646,-0.07723091985199286,-0.3046210606087518,5.279030689381334,30.056595199227438
0.4516731128208646,-0.08032674343523763,-0.3145920497857242,5.582386209933572,30.613344196603023
0.4616731128208646,-0.08352371818882862,-0.32485024459650885,5.891274262855756,31.163100098083834
0.4716731128208646,-0.08682468482725177,-0.335389392451516,6.20562487199614,31.705854070648613
0.4816731128208646,-0.09023242199946313,-0.34620333158316957,6.525367979009725,32.24159850573701
0.4916731128208646,-0.09374964716214976,-0.35728598430148645,6.850433455514368,32.77032700149322
0.5016731128208646,-0.09737901739249052,-0.36863135159263466,7.180751115067646,33.292034344674946
0.5116731128208646,-0.10112313015256523,-0.38023350881310886,7.516250724961222,33.8067164922482
0.5216731128208646,-0.10498452401533373,-0.3920866022796727,7.85686201782966,34.314370552688366
0.5316731128208646,-0.10896567936030327,-0.40418484659261866,8.202514569680847,34.81501994336268
0.5416731128208646,-0.11306901905567752,-0.41652252726454914,8.553155166057122,35.313029253676135
0.5516731128208646,-0.11729690931533804,-0.4290940350423222,8.908773713056899,35.8106060601039
0.5616731128208646,-0.12165166088396709,-0.4418938850211744,9.26936576567251,36.30772639602487
